grad-year,hometown,latitude,longitude,college
1933,"Acton, MA",42.485,-71.433334,Westhampton
1933,"Alexandria, VA",38.804722,-77.047222,Richmond
1933,"Alexandria, VA",38.804722,-77.047222,Richmond
1933,"Alexandria, VA",38.804722,-77.047222,Richmond
1933,"Allendale, NJ",41.032669,-74.133831,Westhampton
1933,"Allentown, PA",40.601667,-75.477222,Westhampton
1933,"Allentown, PA",40.601667,-75.477222,Richmond
1933,"Andover, MA",42.658333,-71.1375,Richmond
1933,"Annandale, VA",38.834167,-77.211389,Richmond
1933,"Annandale, VA",38.834167,-77.211389,Westhampton
1933,"Arkadelphia, AR",34.121944,-93.066111,Westhampton
1933,"Arlington, VA",38.880278,-77.108333,Richmond
1933,"Arlington, VA",38.880278,-77.108333,Westhampton
1933,"Arlington, VA",38.880278,-77.108333,Westhampton
1933,"Arlington, VA",38.880278,-77.108333,Richmond
1933,"Asbury Park, NJ",40.222884,-74.010232,Westhampton
1933,"Asheville, NC",35.58,-82.555837,Richmond
1933,"Aston, PA",39.869167,-75.430556,Westhampton
1933,"Atlanta, GA",33.755,-84.39,Richmond
1933,"Atlanta, GA",33.755,-84.39,Westhampton
1933,"Atlanta, GA",33.755,-84.39,Westhampton
1933,"Atlanta, GA",33.755,-84.39,Westhampton
1933,"Atlanta, GA",33.755,-84.39,Westhampton
1933,"Atlanta, GA",33.755,-84.39,Richmond
1933,"Atlanta, GA",33.755,-84.39,Richmond
1933,"Atlanta, GA",33.755,-84.39,Richmond
1933,"Atlanta, GA",33.755,-84.39,Richmond
1933,"Auburn, MI",43.603333,-84.069722,Richmond
1933,"Audubon, PA",40.130833,-75.425833,Westhampton
1933,"Augusta, GA",40.130833,-75.425833,Richmond
1933,"Avon-By-The-Sea, NJ",40.191418,-74.015105,Richmond
1933,"Avon, CT",41.794444,-72.857778,Richmond
1933,"Bala Cynwyd, PA",40.0075,-75.234167,Richmond
1933,"Baltimore, MD",39.283333,-76.616667,Richmond
1933,"Baltimore, MD",39.283333,-76.616667,Westhampton
1933,"Baltimore, MD",39.283333,-76.616667,Westhampton
